year,week,prcp_sum,tavg_mean,tmax_mean,tmin_mean,prcp_days,week_start,week_sin,week_cos,month,temp_range,lag1_prcp,lag2_prcp,lag1_tavg,lag2_tavg,lag1_prcp_days,Rainy_Next_Week
2022,2,2.5999999999999996,28.0,32.5,24.875,2,2022-01-10,0.23931566428755774,0.970941817426052,1,7.625,15.0,3.3,27.650000000000002,27.585714285714285,2.0,0
2022,3,0.0,26.825,31.9,22.325,0,2022-01-17,0.3546048870425356,0.9350162426854148,1,9.575,2.5999999999999996,15.0,28.0,27.650000000000002,2.0,0
2022,4,0.0,26.425,31.85,22.85,0,2022-01-24,0.4647231720437685,0.8854560256532099,1,9.0,0.0,2.5999999999999996,26.825,28.0,0.0,0
2022,5,0.0,27.28,30.98,23.8,0,2022-01-31,0.5680647467311558,0.8229838658936564,1,7.18,0.0,0.0,26.425,26.825,0.0,1
2022,6,19.6,27.150000000000002,32.65,23.8,2,2022-02-07,0.6631226582407952,0.7485107481711011,2,8.849999999999998,0.0,0.0,27.28,26.425,0.0,0
2022,7,0.0,26.9,33.1,24.3,0,2022-02-14,0.7485107481711011,0.6631226582407953,2,8.8,19.6,0.0,27.150000000000002,27.28,2.0,0
2022,8,4.3,28.25,32.3,25.05,2,2022-02-21,0.8229838658936564,0.5680647467311559,2,7.2499999999999964,0.0,19.6,26.9,27.150000000000002,0.0,0
2022,9,0.0,28.825,33.125,25.3,0,2022-02-28,0.8854560256532099,0.4647231720437686,2,7.824999999999999,4.3,0.0,28.25,26.9,2.0,0
2022,10,1.5,27.700000000000003,32.15,25.35,2,2022-03-09,0.9350162426854148,0.35460488704253557,3,6.799999999999997,0.0,4.3,28.825,28.25,0.0,1
2022,11,20.3,27.65,32.05,24.6,1,2022-03-14,0.970941817426052,0.23931566428755804,3,7.449999999999996,1.5,0.0,27.700000000000003,28.825,2.0,0
2022,12,0.0,29.0,31.9,26.25,0,2022-03-21,0.992708874098054,0.120536680255323,3,5.649999999999999,20.3,1.5,27.65,27.700000000000003,1.0,0
2022,13,0.3,28.639999999999997,32.58,25.48,1,2022-03-30,1.0,-1.6081226496766366e-16,3,7.099999999999998,0.0,20.3,29.0,27.65,0.0,1
2022,14,196.10000000000002,27.12857142857143,31.042857142857144,24.157142857142855,5,2022-04-04,0.992708874098054,-0.12053668025532288,4,6.88571428571429,0.3,0.0,28.639999999999997,29.0,1.0,1
2022,15,72.60000000000001,28.428571428571427,31.599999999999998,24.82857142857143,4,2022-04-11,0.9709418174260521,-0.2393156642875575,4,6.771428571428569,196.10000000000002,0.3,27.12857142857143,28.639999999999997,5.0,1
