week_start,prcp_sum,tavg_mean,tmax_mean,tmin_mean,prcp_days,temp_range,week_sin,week_cos,month,lag1_prcp,lag2_prcp,lag1_tavg,lag2_tavg,lag1_prcp_days,Rainy_Next_Week
2010-02-22,0.0,28.385714285714283,31.771428571428572,24.957142857142856,0,6.814285714285717,0.8229838658936564,0.5680647467311559,2,2.8,1.5,28.3,27.557142857142857,1.0,0
2010-03-01,0.0,28.785714285714285,31.942857142857143,25.099999999999998,0,6.842857142857145,0.8854560256532099,0.4647231720437686,3,0.0,2.8,28.385714285714283,28.3,0.0,0
2010-03-08,3.8,29.3,33.0,25.916666666666668,2,7.083333333333332,0.9350162426854148,0.35460488704253557,3,0.0,0.0,28.785714285714285,28.385714285714283,0.0,0
2010-03-15,0.5,28.8,32.733333333333334,25.416666666666668,1,7.316666666666666,0.970941817426052,0.23931566428755804,3,3.8,0.0,29.3,28.785714285714285,2.0,1
2010-03-22,23.1,28.585714285714285,32.34285714285714,25.514285714285712,3,6.828571428571429,0.992708874098054,0.120536680255323,3,0.5,3.8,28.8,29.3,1.0,1
2010-03-29,31.0,28.685714285714287,32.471428571428575,25.442857142857147,3,7.0285714285714285,1.0,-1.6081226496766366e-16,3,23.1,0.5,28.585714285714285,28.8,3.0,1
2010-04-05,69.7,28.271428571428572,32.15714285714286,25.24285714285714,5,6.914285714285718,0.992708874098054,-0.12053668025532288,4,31.0,23.1,28.685714285714287,28.585714285714285,3.0,1
2010-04-12,66.5,28.7,31.914285714285715,25.95714285714286,5,5.9571428571428555,0.9709418174260521,-0.2393156642875575,4,69.7,31.0,28.271428571428572,28.685714285714287,5.0,1
2010-04-19,154.9,28.37142857142857,31.82857142857143,25.099999999999998,5,6.728571428571431,0.9350162426854148,-0.35460488704253545,4,66.5,69.7,28.7,28.271428571428572,5.0,1
2010-04-26,181.39999999999998,28.414285714285715,32.25714285714286,24.442857142857143,4,7.814285714285717,0.8854560256532099,-0.4647231720437685,4,154.9,66.5,28.37142857142857,28.7,5.0,1
2010-05-03,49.1,29.24285714285714,32.24285714285714,26.97142857142857,3,5.271428571428569,0.8229838658936565,-0.5680647467311557,5,181.39999999999998,154.9,28.414285714285715,28.37142857142857,4.0,1
2010-05-10,247.9,28.800000000000004,31.97142857142857,26.114285714285717,5,5.857142857142854,0.7485107481711013,-0.663122658240795,5,49.1,181.39999999999998,29.24285714285714,28.414285714285715,3.0,1
2010-05-17,384.7,27.085714285714285,29.942857142857143,24.3,7,5.642857142857142,0.6631226582407952,-0.7485107481711012,5,247.9,49.1,28.800000000000004,29.24285714285714,5.0,1
2010-05-24,43.7,28.842857142857145,31.17142857142857,27.114285714285717,6,4.057142857142853,0.5680647467311558,-0.8229838658936564,5,384.7,247.9,27.085714285714285,28.800000000000004,7.0,0
2010-05-31,9.4,29.214285714285715,31.228571428571428,27.757142857142856,3,3.4714285714285715,0.46472317204376906,-0.8854560256532096,5,43.7,384.7,28.842857142857145,27.085714285714285,6.0,1
2010-06-07,66.8,27.642857142857142,30.32857142857143,25.357142857142858,5,4.9714285714285715,0.35460488704253584,-0.9350162426854147,6,9.4,43.7,29.214285714285715,28.842857142857145,3.0,1
2010-06-14,84.4,28.071428571428573,30.942857142857143,25.814285714285713,4,5.12857142857143,0.23931566428755768,-0.970941817426052,6,66.8,9.4,27.642857142857142,29.214285714285715,5.0,0
2010-06-21,6.8999999999999995,28.585714285714285,30.728571428571428,25.97142857142857,2,4.757142857142856,0.12053668025532308,-0.992708874098054,6,84.4,66.8,28.071428571428573,27.642857142857142,4.0,1
2010-06-28,73.0,27.685714285714287,29.957142857142856,25.928571428571427,7,4.0285714285714285,-3.216245299353273e-16,-1.0,6,6.8999999999999995,84.4,28.585714285714285,28.071428571428573,2.0,0
2010-07-05,11.5,27.614285714285717,30.414285714285715,25.75714285714286,4,4.657142857142855,-0.12053668025532283,-0.992708874098054,7,73.0,6.8999999999999995,27.685714285714287,28.585714285714285,7.0,1
